# dataset,Solution dataset URL,Solution name,Solution on-sentence summary,Identification,Label Date,By,From,Maturity stage,Looking For,Target client profile,Tags,Sectors,Youtube Video URL,The environmental benefits,The Financial benefits,Activity Region - Continent,Activity Region - Countries,Complementary solutions,Organization dataset URL
1,https://solarimpulse.com/solutions-explorer/greenspector-1?queryID=8990ca73fae9fde373dc5ea8fa37cfcc,GREENSPECTOR,"A SaaS solution to mesure, analyse energy and IT resources consumption and impacts for mobile web and Iot applications","Greenspector helps digital teams to manage digital eco-design approach thanks to an expert tool that measures and analyzes energy-resources consumption for environmental and economic gains when developping digotal services (Web, Mobile, IoT). Quick detection of hotspots in main user journeys of applications give developers, designers, product owner good way to act as soon as possible in the digital services lifecycle. Measurement is made with automated script tests of a use case that is sent to a remote power test cloud composed of real devices (Smartphones, tablets, ...), measurement is done thanks wattmeters, IT resources and data probes, collected to be analyzed. Resuts can be tracked in continuous integration process. Analysis of key indicators and details information for correlation, benchmarking is made through web interface or sent to populate in-house dashboards.","July 11, 2023",GREENSPECTOR,France,Small scale commercialization,"Network, New clients, Visibility, Credibility, Funding, Partners",BusinessServicesICT Company & Data Centers,"Data centers, Electronic waste, Internet, Software, IoT","Energy, Infrastructures, Energy and fuel efficiency",https://youtu.be/cnkZOBz8GWA,"With Greenspector, 200 editors in Health (Doctolib, Ameli, ...) sector will in full autonomy mesure, analyse and reduce impacts of their web and mobile application thanks to french Health Ministry and Greenspector Engine;Greenspector Expertise is relevant to be member of International Expert Group for Normalization ISO/IEC to build future norm of Digital servcies ecodesign Metrics in the 2 further years;Solution and expertise had been choosed to work on a new R&D project in IoT domaine for a group of leader in Industry 4.0 with AIrbus, Siemens, Alten, S-MicroElectronics to reduce impacts on Io industrial digital services from objects to servers;Greenspector help to reduce GHG for digital services like Mobile app for french on-line train reservation of 20 % for a gain yearly estimated up to 10 tons EqCO2;Greenspector help to reduce GHG for digital services like Paris 2024.org website of 50 % gain for a yearly 3 tons Eq CO2.;","In a context of lagely deployed digital banking service, we divided by 3 queries sent to servers serveres. Reducing server useless servers of 30 % is an expected economic gain of direct cost of 15 k€;A good choice for smartphone fleet of 15 000 devices for 2 to 4 years thank to better battery lifespan;",Europe,"United Kingdom,Belgium,France","Heat recovery system: Low temperature heating of premises by recycling waste heat from refrigeration systems (Energy,Buildings & Shelters);Smart Street Lighting: Outdoor smart street lighting control: energy saving, security and efficiency (Infrastructures);Occupancy detector: Wall-mounted sensor for occupancy detection of commercial facilities (Infrastructures,Buildings & Shelters);Energiency Software: Cloud-based technology for real-time analysis of industrial energy performance (Energy,Industry & Consumer Goods);",/companies/view/greenspector
2,https://solarimpulse.com/solutions-explorer/wisamo?queryID=8990ca73fae9fde373dc5ea8fa37cfcc,WISAMO,"An easy-to-use, inflatable, automatic, and foldable wing sail, using wind propulsion to decrease fuel and GHG emissions","WISAMO -Wing Sail Mobility- aims to contribute to maritime transport decarbonization improving the environmental footprint of bigger ships, decreasing their fuel consumption and their GHG emissions. WISAMO solution is a large inflatable, foldable and automated wing sail using the universal and free energy of wind propulsion, operable on any vessel -as original equipment or on those ones already operating. The wing's principle is to be inflated with small fans. It is automated and it may be deployed or completely lowered thanks to a telescopic mast according to weather conditions or to facilitate the boat's mobility i.e. when passing under a bridge, when operating on the unloading dock. The position of the mast has been particularly studied to be close to the thrust center of the wing in order to be more efficient. The main differentiating characteristics of WISAMO is the simplicity of usage, optimum power in upwind conditions -the most frequent use case, and efficiency in a large range of winds.","July 11, 2023",Michelin,France,Prototype testing 1:1 in the lab,"Network, New clients, Visibility, Funding, Partners, Credibility",BusinessServicesTransportersWaterways & Cargos,"Marine & Oceans, Cargo ships, Maritime shipping, Fuel efficiency","Freight, Energy and fuel efficiency",https://youtu.be/_BtKF7mE_Vw,"Large wind usage range from 30° to 135°with an optimum performance between 45° and 135° (a contrario from 60° to 150°for a generic sail, with a heavy drop of performance from 45°);As 75% of wind forces met on main commercial routes are less than 17 knots (IMO - MEPC.1/Circ.896), vessel speeds will create apparent wind more profitable for Wisamo performance (capacity to sail upwind);Thanks to its foldable mast, impact on vessel stability will be limited and preliminary fatigue will be avoided;Save up to 20% fuel consumption so up to 20% CO2 emissions;Usable in most weather conditions between minus 10 Celsius degrees to 50 Celsius degrees;As CO2 is the result of the combustion of Carbon and Oxygen, 1 ton of Marine Diesel oil uses will generate 3 tons of CO2, this saving represents a double impact : reducing GHG emissions and reduce the consumption of a limited energy source;","Around 5 years payback time; Mast lifetime of 20 years, and renewable wing after 5 year usage ;0 cost linked to operation downtime, even for retrofit implementation  ;","Europe,Asia,North america","Scotland,Sweden,Portugal,Norway,Netherlands,Monaco,Italy,Ireland,Croatia,Greece,United Kingdom,France,Finland,Spain,Denmark,Germany,Belgium,Singapore,South Korea,Japan,United States,Canada","WeNow: A plug-and-play system for the driver to act for the climate now (Freight,Mobility);Bound4blue : A novel wingsail system for assisted clean sailing in the maritime transport sector (Freight,Industry & Consumer Goods);Skybreathe: An eco-flying solution based on cloud and big data for open airlines (Freight,Mobility);Rotor Sails: An auxiliary wind propulsion system to reduce the fuel consumption of commercial shipping (Freight,Mobility);",/companies/view/michelin
3,https://solarimpulse.com/solutions-explorer/steamology-solution?queryID=8990ca73fae9fde373dc5ea8fa37cfcc,Steamology Solution,Steamology steam heat and power for industrial steam and diesel transport decarbonisation,"Steamology was founded to commercially exploit the technology legacy of a successful landspeed world record attempt, to explore the potential of clean green renewable hydrogen steam. Steamology deliver scalable and modular solutions for industrial steam heat and power, embracing the hydrogen economy, decreasing/eliminating emissions, replacing fossil fuels and fossil fuel engines. Steamology patented energy solutions address three markets using a common core technology: • process steam and heating for decarbonising industrial applications including the food, beverage and pharmaceutical sectors • Drop-in diesel engine replacement unit with power ratings from 250 kW to Megawatt scale output through mechanical, electrical or hybrid drivetrains for powering trains, trucks, ships transport or static applications • Renewable Energy (RE) storage and power generation","July 11, 2023",Steamology,United Kingdom,Prototype testing 1:1 in the lab,"Network, New clients, Visibility, Funding, Partners","BusinessEnergy Utility, BusinessServicesTransportersAirlines & Airfreight, BusinessServicesTransportersRail, Metro & Tram, BusinessServicesTransportersWaterways & Cargos","Hydrogen, District heating & cooling, Industrial process heat","Energy, Heating, cooling and ventilationIndustrial Heat",,"Steam is emission free, producing high energy steam, zero carbon, zero nitrous oxides (NOx), zero sulphurous oxides (SOx) no particula;Aims at addressing the 20% hard to directly electrify challenges of industrial heating and high-power;","Can be fitted to existing steam/heating applications and can replace existing diesel engines;Once installed and operated from Renewable Energy customer long term energy needs become clean, decarbonised and resilient to external volatility in energy supply, costs and legislation;Utilise existing manufacturing production capital and human skills utilising existing workforce and machines in response to decarbonisation cleantech scale production  ;",Europe,United Kingdom,"Renewable gas for industrial burners: Decentralized renewable solutions for process heat in industrial processes (Industry & Consumer Goods,Energy);Solar space heating: Solar-powered air heaters and rock bed thermal storage to heat homes 

 (Buildings & Shelters,Energy);Stirling Engine: Stirling engine modules to generate clean electricity from waste heat locally (Energy,Industry & Consumer Goods);X-Sol 100 : Resistant and low-cost solar water heater using special plastic materials (Buildings & Shelters,Energy);",/companies/view/steamology
4,https://solarimpulse.com/solutions-explorer/hellowatt-app?queryID=8990ca73fae9fde373dc5ea8fa37cfcc,HelloWatt App,Hello Watt App provides users with a detailed analysis and custom-made recommendations to reduce their energy bills,"With Hello Watt, you can track, compare and analyse your electricity and gas consumption much more easily than on your energy supplier's application. On our application, you can: 1/ Track your consumption in kWh, euros and CO2 ; 2/ Analyse your consumption by usage ; 3/ Compare yourself to similar homes ; 4/ Reduce your energy bills with personalised advice based on your data ; 5/ Set alerts on your consumption, as well as RTE's Ecowatt, EJP or EDF's Tempo Alerts ; 6/ View your solar electricity injection.","July 11, 2023",Hello Watt,France,Medium and large scale commercialization,"Network, Visibility, Credibility","Individual, BusinessEnergy Utility","Smart-metering, Sensors & monitoring, Service, Software, Smart-buildings","Buildings, Energy, Power and fuel distribution, Energy and fuel efficiency",https://youtu.be/BQRI0VqDggk,5 Average visits per month per users;4.5/5 average App ranking;Reduction of 16% of gas consumption ;Reduction of 14% of electricity consumption ;-294 kgCO2/year for an electricity + gas user;,15% of reduction on energy bills;200€ saving per year and per user on energy bills ;Hello Watt App is free;,Europe,France,"Heat recovery system: Low temperature heating of premises by recycling waste heat from refrigeration systems (Energy,Buildings & Shelters);animeo Connect : Facade shading management solution for increased energy savings in buildings (Buildings & Shelters);Recovering heat : Standardized, ready-to-install solution for supermarkets to heat buildings or water using waste heat (Buildings & Shelters);LightFi: Continuously measure building occupancy to optimize energy use for HVAC and lighting



 (Buildings & Shelters);",/companies/view/hello-watt
5,https://solarimpulse.com/solutions-explorer/clear-impact-station-cis-c?queryID=8990ca73fae9fde373dc5ea8fa37cfcc,Clear Impact Station - CIS(c),"A mobile, modular station, water depollution, treatment with natural zeolites","SOLeHo offers solutions that meet the requirements of national and European legislation. - Reference: Environmental and health standards for: recovery of water for industrial activities and human consumption, discharge into the natural environment, recycling (capture of heavy metals and chemical derivatives). - CLEAR IMPACT STATION (CIS) is a nomadic connected station, water treatment, and aims to set up, consolidate and capitalize (Blue DATA), which has been done thanks to university work (with conditions at low scale), in particular to develop a solution for the transition to the next stages of the industrial project. The data modeling (Blue Data) of this pilot will make it possible to size the development of the pre-industrial then industrial phase of the solution. CIS will pave the way for the development of structured industrial offers, allowing to measure the environmental impact and which will lead to offers and services to the commercial industry.","July 7, 2023",Solého Environnement,France,Prototype testing in the real world,"Network, Visibility, Funding, Partners, Credibility",BusinessWater Utility,"Heavy metals, Domestic & municipal wastewater, Industrial wastewater, Black water, Water & Wastewater treatment","Water, Wastewater management",https://youtu.be/8xw397G-05Y?start=124,"4 micron microfiltration capacity (molecular tamis) versus 50 micron for sand, which retains only large particles;97% is the reduction of toxic substances (ammonia (NH4), heavy metals (Pb, Cu, CD, Zn, Co, Cr, Mn and Fe, Pb, Cu) , toxins, low-level radioactive elements (Cs, Co, Sr, Ag);100 kg of product is equivalent to 180 kg of traditional filtration media;Clinoptilolite in drinking water treatment for NH4+ removal, reduce 97% -  Stabilize the pH of soils and water around 7 & 8 pH;50% reduction in chlorine in swimming pool water (tricholramine reduction), elimination of flocculant;Captures the 33 chemicals contained in heavy water;","Reduction of operating costs by 50-60% (water treatment traditional systems), Longer filter media life (20 years) compared to 10 for sand filters;30% reduction in maintenance compared to a traditional system (less chemicals, less filter clogging);Support up to 90% of the costs by the manufacturer, during the tests, Aid from bodies responsible for water management (water agency, etc.);",Europe,France,"REM: A novel acid regeneration system for steel pickling (Waste & Pollution,Water,Industry & Consumer Goods);ECOSOFTT: A suite of solutions to allow underserved communities to manage their water resources (Buildings & Shelters,Waste & Pollution,Water);ECOLOO: A social impact driven enterprise to address the sanitation crisis in developing countries (Buildings & Shelters,Waste & Pollution,Water);Hydraloop: A fully automatic stylish in-house greywater recycling system (Buildings & Shelters,Water,Waste & Pollution);",/companies/view/soleho-environnement
6,https://solarimpulse.com/solutions-explorer/mixergy-pv-embedded-smart-cylinder?queryID=8990ca73fae9fde373dc5ea8fa37cfcc,Mixergy PV Embedded Smart Cylinder,A smart hot water cylinder that maximises storage of locally generated solar PV for domestic dwellings,"Mixergy are the market leaders in smart and connected hot water tanks. They help you live better, save money, and reduce your impact on the environment. 



Their award-winning tank gives you all the hot water you need, when you need it, with their patented top-down heating technology. Compared to conventional tanks, you can save up to 40% (or 60% when combined with solar PV) on your hot water bills and heat your water 10x faster.



You stay in complete control with the Mixergy app or simple gauge, and it can connect it to any heat source, from gas boilers to solar and heatpumps. 

Our top team expertly train our large and trusted Installer Network, so you can rely on the very best to install and maintain your smart tank. 



Mixergy tanks are heat source agnostic and future proofed, ready for upgrading! This flexibility means it can work with: gas or oil boilers, electric heating, solar PV, solar thermal or heat pumps during its working life.

","July 7, 2023",Mixergy,United Kingdom,Medium and large scale commercialization,"Network, New clients, Visibility, Partners, Credibility","Individual, BusinessServicesBuildings Operators","Water-networks, Building heating","Buildings, Energy, Energy and fuel efficiencyWater efficiency",https://youtu.be/KNGtzZq_aQ8,Lower hot water bills by up to 60%*;Generate hot water 10x faster*;30% more usable hot water;Lower household carbon emissions by over 100kg per annum* ;Futureproofed for the low carbon transition: solar and heat pump ready!;Maximise utilisation of locally generated solar PV energy;,Lower hot water bills by up to 60%;Payback in less than 5 years (recovering price difference vs. conventional alternative);Generate 30% more usable hot water;,Europe,"Belgium,France,United Kingdom,Ireland,Netherlands,Portugal","Kelda Technology: Halve the amount of water used by your shower without diminishing the experience (Buildings & Shelters,Water);Heat recovery system: Low temperature heating of premises by recycling waste heat from refrigeration systems (Energy,Buildings & Shelters);animeo Connect : Facade shading management solution for increased energy savings in buildings (Buildings & Shelters);Recovering heat : Standardized, ready-to-install solution for supermarkets to heat buildings or water using waste heat (Buildings & Shelters);",/companies/view/mixergy
7,https://solarimpulse.com/solutions-explorer/digitrack?queryID=8990ca73fae9fde373dc5ea8fa37cfcc,Digitrack,DigiTrack is a solution for building a database for waste tracking and truck transport optimization,"DigiTrack, a solution for building the database for regulatory compliance, is destined primarily for the demolition and construction industry. It is an app that enables optimization of truck transportation and an increase in the traceability of waste. Due to more optimized truck loading, fewer routes are necessary for the transport of the waste, decreasing fuel consumption, as well as limiting road traffic. Traceability of the waste facilitates their recyclability, hence increasing the value of the materials and decreasing their fraction ending up in landfills.","July 6, 2023",Altaroad,France,Small scale commercialization,"Funding, Credibility","Public Authorities, BusinessServicesWaste & Remediation","Landfill, Carbon emissions waste, Waste collection, Logistics, Route optimization, Municipal Solid Waste","Waste/Pollution, Logistics",https://player.vimeo.com/video/785988579?h=be61f645d5,9% reduction in number of truck transportations;100% digitalisation of data;7.6 Kt of CO2eq saved per year per 100 construction sites reached;118 420 kg of CO2eg saved per year per changed user;,"Increase of value of recycled materials, e.g +35€ per ton for aggregates;Reduction of transportation cost by 5% by optimizing loads;Productivity optimization translating to direct savings of around 120k €;",Europe,"Belgium,Switzerland,France","Reflaunt: A sustainable model of consumption allowing customers to resell, donate or recycle their past purchases (Industry & Consumer Goods,Waste & Pollution);Food Packaging as a Service: Replaces single-use packaging with reusable, available, affordable and more ecological packaging (Food & Agriculture,Waste & Pollution);Digitrack: DigiTrack is a solution for building a database for waste tracking and truck transport optimization (Waste & Pollution);",/companies/view/altaroad
8,https://solarimpulse.com/solutions-explorer/retrofit-for-electronic-infrastructure-1?queryID=8990ca73fae9fde373dc5ea8fa37cfcc,Retrofit for electronic infrastructure,A retrofit infrastructure modernization with the newest technology without waste,"A retrofit is a modernization of a system, which consists in replacing or adding some of its components while keeping others. The main advantage of a retrofit is the saving of resources. Instead of purchasing a new system as a whole, it is possible to integrate new functions, e.g. via new software or targeted components, while retaining the majority of the hardware components. Supercomputing Systems AG (SCS) has long observed the waste of resources in industry. In 2009, a first project was implemented by SCS to counter a partial obsolescence with a retrofit and thus modernize an IT solution without having to acquire a new global solution. Instead of buying new ticket machines for public transport in the canton of Zug, SCS made a retrofit. This pioneering project paved the way for many other projects (dynamic passenger information displays, parking guidance systems, relay interlocking systems) in which an SCS department has now specialized.","July 6, 2023",Supercomputing Systems AG,Switzerland,Medium and large scale commercialization,"Network, New clients, Visibility","Individual, Public Authorities, BusinessManufacturingComputers & Other Electronics, BusinessServicesRetailerB2C E-Commerce Platforms, BusinessServicesRetailerNon-food Retail Stores","Electronic waste, Packaging & plastics waste","Industry/Goods, Waste/Pollution, Solid waste management",https://youtu.be/3URGUGI9RlI,"The software that we have developed for our first customer in the public transport domain is now installed on about 2'500 points of sale;We do not only retrofit ticket vending machines, but have implemented and deployed in Switzerland our solution in two additional domains, i.e. information displays and parking guidance systems;Usually saving about 90% of the CO2 grey energy emissions;Each retrofit is of course different, but when we consider that a retrofit of an existing infrastructure makes it possible to not create new devices and simply change the necessary internal components (e.g. computing units);In the case of ticket vending machines, a retrofit makes it possible to reuse the concrete base on which the device is installed, which implies 100% reuse of the existing concrete foundation;","When compared to mainstream alternatives (consisting e.g. in buying a new system), our solution enable the customers to save at least 75% of the costs;After a retrofit, our customers can also buy by themselves the internal electronic component of the system, again at a price up to 75% cheaper than the one of the original provider;",Europe,Switzerland,"SEAB Energy - Flexibuster: A small-scale modular container for transforming organic waste into energy (Energy,Waste & Pollution,Food & Agriculture);Pellenc ST: Optical sorting machines to recycle large amounts of waste quickly and accurately (Waste & Pollution);RT7000: A machine to chemically recycle plastic waste back into oil (Industry & Consumer Goods,Waste & Pollution);PYROWATTS: A disruptive waste to energy scalable gasifier for decentralized waste management (Waste & Pollution,Energy);",/companies/view/supercomputing-systems-ag
9,https://solarimpulse.com/solutions-explorer/morforest-ecosystem-restoration?queryID=8990ca73fae9fde373dc5ea8fa37cfcc,MORForest Ecosystem Restoration,"A large-scale reforestation service blending agritech, machine learning, and computer vision to solve global warming","MORFO offers reforestation services blending agritech, machine-learning, and computer vision to fight global warming. 



We are an A-Z solution for large-scale reforestation, from area analysis, to species selection & encapsulation, to high-rate plantation and ecological monitoring. 



We plant forests on degraded lands in tropical and sub-tropical regions and restore entire ecosystems by optimising our techniques for biodiversity and socio-economic impact. 



For each project, MORFO closely monitors the planted areas and continuously analyses biodiversity and biomass developments, as well as carbon capture levels. All data is displayed on an online dashboard accessible by all parties involved. ","July 6, 2023",MORFO,France,Small scale commercialization,"Network, New clients, Visibility, Funding, Partners, Credibility","Local NGO, BusinessFarming & AgricultureCrops, BusinessFarming & AgricultureForestry & Logging","Drones, Trees & Forests, Carbon offset","Food/Agri, Finance and Impact offsettingEcosystems management",https://youtu.be/Mh8ZtTfN524,"High-speed plantation capacity of 50 hectares per day, 3 trees planted every second, 100x faster than traditional methods;+1000 tropical species and +100 biomes studied;Large-scale nature-based carbon sequestration solution (1m hectares in 2030, i.e. 400MteqCO2 in the process of being captured) ;1000 tropical local species deployed on our projects to restore and preserve native biodiversity.;","Higher quality, faster ecosystem restoration, divides the usual cost by 3 for the customer (goal to further reduce it by 6);2-3x faster than traditional solutions with 2x higher chances of success thanks to thorough lab tests fed by continuous data inputs, deployment rigour and tech-based monitoring;","Europe,Africa,South america","France,Gabon,Brazil,French Guiana","h-aero®: Solar-powered helium unmanned aerial vehicle for versatile monitoring activities (Food & Agriculture,Industry & Consumer Goods);PUR Projet Nature Based Solutions: Connecting small scale cocoa and coffee producers with large corporate brands (Food & Agriculture,Waste & Pollution);EcoTree: Democratization of tree ownership for sustainable development and profit (Food & Agriculture,Infrastructures);Wild Urban Spaces: Environmentally, ecologically and socially impactful rapid growth urban forest creation (Food & Agriculture);",/companies/view/morfo
10,https://solarimpulse.com/solutions-explorer/solis-daylighting-collectors?queryID=8990ca73fae9fde373dc5ea8fa37cfcc,SOLIS  Daylighting Collectors,"Providing Natural Sunlight to poorly lit interiors, with a highly efficient SOLIS, creating healthy efficient buildings","Solight developed a highly efficient, fully static, patented, solar collector delivering healthy, energy-saving sunlight indoors which brings flexibility and a competitive price-to-performance ration.

The model SOLIS Max, which is 30,000 Lumens, typically lights 60 sqm and is ideal for Commercial Buildings, but there are also other models that are compatible with various applications.

SOLIS delivers constant full visible spectrum lighting from 08:00 until 16:00, with controlled heat or UV, offering the multiple recognized benefits of natural lighting, with electricity savings of up to 40%. The Solution makes homes and workplaces healthier and more energy efficient.","July 4, 2023",Solight LTD,Israel,Small scale commercialization,"Network, New clients, Visibility, Funding, Partners, Credibility","Individual, BusinessConstruction","Construction, LED, Green building, Smart-buildings","Buildings, Lighting",https://youtu.be/EVAyIGtXg7k,"Can deliver an annual average 30,000 Lumens under 100K Lux Nominal Sunlight and remains highly efficient in cloudy days;Durable and lightweight Aluminum construction ;A light guide which is 60X60 cm;70% reduction in daytime artificial lighting;Provides solar heating in winter and a non-heating Sunlight in summer;Extended life for artificial luminaries due to reduced daytime usage (Opex);",Electricity savings of 35~12% depending on building type and utilization;Increased workers productivity 18~12% ;Improved school children's concentration and learning 30% ;,Asia,Israel,"Occupancy detector: Wall-mounted sensor for occupancy detection of commercial facilities (Infrastructures,Buildings & Shelters);LED Bulb for Household Use: A basic light bulb using the led technology (Buildings & Shelters);Solatube Tubular Daylighting : Energy efficient green building components that bring daylight into interior spaces (Buildings & Shelters);Philips PowerBalance: An energy-efficient led luminaire ensuring a comfortable working environment (Buildings & Shelters);",/companies/view/solight-ltd
